customer_number,campaign_period_sales,historical_sales_volume,date_of_first_purchase,number_of_prior_year_transactions,do_not_direct_mail_solicit,do_not_email,do_not_telemarket,repurchase_method,last_transaction_channel,desk,executive_chair,standard_chair,monitor,printer,computer,insurance,toner,office_supplies,number_of_employees,language,num_emp,cp_sales,years_as_customer,hist_sales_bin,hist_years_as_customer_bin,hist_transactions_bin,repurchase_method_AUTO RENEW,repurchase_method_NOTICE,repurchase_method_PAYMENT PLAN,last_transaction_channel_AUTO RENEW,last_transaction_channel_BILLING,last_transaction_channel_BRANCH (PHONE),last_transaction_channel_BRANCH (POS),last_transaction_channel_IT,last_transaction_channel_MAIL,last_transaction_channel_NONE,last_transaction_channel_PHONE,last_transaction_channel_WEB,num_emp_avg_3,num_emp_avg_8,num_emp_avg_25,num_emp_avg_75,num_emp_avg_300,num_emp_avg_500,sale_1319.313_to_155862.72,sale_155862.72_to_303035.2,sale_303035.2_to_517717.2,sale_517717.26_to_929078.857,sale_929078.857_to_34412125.8,Years_0-10,Years_11-20,Years_21-30,Years_30-40,Years_40-50,Years_50+,Transactions_0-5,Transactions_6-10,Transactions_11-15,Transactions_16-20,Transactions_21-25,Transactions_25+,probs,success_pred
33450368,209.4,456073.2,2008-11-17,22,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,1-5,English,3,1,11,sale_303035.2_to_517717.2,11-20,21-25,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.7806607252194385,0
33450866,0.0,1128456.0,2009-05-08,9,1.0,1.0,1.0,NOTICE,AUTO RENEW,0,0,0,0,0,0,0,0,0,NONE,NONE,8,0,10,sale_929078.857_to_34412125.8,0-10,6-10,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.8819715409494251,0
33451729,0.0,330067.92000000004,2004-09-24,21,0.0,0.0,0.0,AUTO RENEW,AUTO RENEW,0,0,0,0,0,0,0,0,1,1-5,English,3,0,15,sale_303035.2_to_517717.2,11-20,21-25,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.7359761418980126,0
33452270,0.0,618254.9333333332,1984-06-01,20,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,1,1,1-5,English,3,0,35,sale_517717.26_to_929078.857,30-40,16-20,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.802493884296337,0
33454874,0.0,1794932.1866666668,1994-02-15,22,0.0,0.0,0.0,AUTO RENEW,AUTO RENEW,0,0,0,0,0,0,0,0,1,11-50,English,25,0,25,sale_929078.857_to_34412125.8,21-30,21-25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.8314215029286363,0
33455054,0.0,1546372.0,1997-05-01,5,0.0,0.0,0.0,NOTICE,MAIL,0,1,0,0,0,0,1,1,0,NONE,NONE,8,0,22,sale_929078.857_to_34412125.8,21-30,0-5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0.9097360196624132,0
33456320,256.51666666666665,69259.5,1993-04-01,10,0.0,0.0,0.0,NOTICE,MAIL,1,0,0,0,0,0,0,0,0,1-5,NONE,3,1,26,sale_1319.313_to_155862.72,21-30,6-10,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.7760054729258316,0
33459690,0.0,393965.0,1981-12-01,19,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,1-5,English,3,0,38,sale_303035.2_to_517717.2,30-40,16-20,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.7877590512456912,0
33462220,0.0,1349752.3809523808,2007-06-25,20,0.0,0.0,0.0,NOTICE,NONE,0,0,0,0,0,0,1,0,1,6-10,English,8,0,12,sale_929078.857_to_34412125.8,11-20,16-20,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.8654353394096228,0
33466016,0.0,333002.0,1994-11-01,4,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,0,NONE,NONE,8,0,25,sale_303035.2_to_517717.2,21-30,0-5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.8841439868863807,0
